subject,jumlah_tiket
data tukin bulan februari 2020 pada aplikasi BPP tidak terbaca,1
Push Data E-Rekon,1
Pendaftaran User Unit,1
Penghapusan no gaji di gpp terpusat utk satker 018576,1
Permohonan User SAKTI Tingkat Eselon I,1
Penolakan Rekon GPP Satker Pusat Sains Tehnologi Nuklir dan Terapan (017283),1
alamat server pinppspm tidak bisa diakses dari komputer klien,1
PERMOHONAN PERUBAHAN NOMOR HP ADMINISTRATOR SAKTI,1
data tidak valid,1
Data Konfirmasi Penerimaan Pajak di OM SPAN belum muncul,1
menghapus Halaman IV B DIPA,1
Revisi Kanwil DJPB,1
IKPA Tahun 2019,1
Jabatan PPK,1
SPBY,1
Daftar SAKTI Web Level Unit (Eselon I) dan Kementerian,1
Pembatal ADK SPM Aplikasi SAKTI,1
Permohonan penambahan kewenangan akun SAKTI OPerator,1
"Permohonan hapus stock opname yg sudah dilakukan, dan buka buku persediaan bulan desember 2019",1
Tidak dapat mencatat pungutan pada SPBY yang telah disetujui,1
Tindak lanjut tiket hai 20200124-5TOZQN,1
Permohonan penghapusan referensi sakti web satker 890639,1
Persyaratan Admin Sakti Unit Eselon I,1
