periode,tahun,bulan,topic,jumlah_tiket,risk_weight,baseline,growth_rate,growth_score,volume_score,emerging_score,emerging_index
2021-09,2021,9,SPAN,25,5,20.333333333333332,22.95,22.95,3.258096538021482,199.17386152085928,37.94
2021-10,2021,10,SPAN,25,5,23.666666666666668,5.63,5.63,3.258096538021482,147.2138615208593,29.99
2021-11,2021,11,SPAN,26,5,24.333333333333332,6.85,6.85,3.295836866004329,152.38347464017318,30.78
2021-12,2021,12,SPAN,17,5,25.333333333333332,-32.89,-32.89,2.8903717578961645,16.944870315846607,10.07
2022-01,2022,1,SPAN,15,5,22.666666666666668,-33.82,-33.82,2.772588722239781,9.443548889591273,8.93
2022-02,2022,2,SPAN,10,5,19.333333333333332,-48.28,-48.28,2.3978952727983707,-48.92418908806518,0.0
2022-03,2022,3,SPAN,19,5,14.0,35.71,35.71,2.995732273553991,226.9592909421596,42.19
2022-05,2022,5,SPAN,16,5,12.0,33.33,33.33,2.833213344056216,213.31853376224865,40.1
2022-06,2022,6,SPAN,18,5,14.0,28.57,28.57,2.9444389791664403,203.4875591666576,38.6
2022-08,2022,8,SPAN,13,5,14.0,-7.14,-7.14,2.6390573296152584,84.14229318461037,20.35
2022-09,2022,9,SPAN,12,5,13.0,-7.69,-7.69,2.5649493574615367,79.52797429846146,19.64
2022-10,2022,10,SPAN,11,5,11.0,0.0,0.0,2.4849066497880004,99.39626599152001,22.68
2022-11,2022,11,SPAN,10,5,12.0,-16.67,-16.67,2.3978952727983707,45.90581091193482,14.5
2020-01,2020,1,SPM,12,4,,,0.0,2.5649493574615367,82.07837943876918,20.03
2020-03,2020,3,SPM,13,4,10.0,30.0,30.0,2.6390573296152584,156.44983454768828,31.41
2020-04,2020,4,SPM,19,4,11.0,72.73,72.73,2.995732273553991,270.4154327537277,48.83
2020-05,2020,5,SPM,24,4,13.333333333333334,80.0,80.0,3.2188758248682006,295.00402639578243,52.6
2020-06,2020,6,SPM,19,4,18.666666666666668,1.79,1.79,2.995732273553991,100.15943275372771,22.8
2020-07,2020,7,SPM,14,4,20.666666666666668,-32.26,-32.26,2.70805020110221,9.233606435270744,8.89
2020-08,2020,8,SPM,10,4,19.0,-47.37,-47.37,2.3978952727983707,-36.95535127045213,1.83
2020-09,2020,9,SPM,13,4,14.333333333333334,-9.3,-9.3,2.6390573296152584,62.12983454768828,16.98
2020-10,2020,10,SPM,14,4,12.333333333333334,13.51,13.51,2.70805020110221,119.08160643527074,25.69
2020-12,2020,12,SPM,25,4,11.666666666666666,114.29,114.29,3.258096538021482,378.5550892166874,65.37
2021-02,2021,2,SPM,15,4,12.666666666666666,18.42,18.42,2.772588722239781,132.930839111673,27.81
2021-03,2021,3,SPM,11,4,15.0,-26.67,-26.67,2.4849066497880004,15.509012793216016,9.85
2021-04,2021,4,SPM,21,4,10.333333333333334,103.23,103.23,3.091042453358316,346.6653585074661,60.5
2021-05,2021,5,SPM,14,4,15.666666666666666,-10.64,-10.64,2.70805020110221,61.121606435270735,16.83
2021-07,2021,7,SPM,12,4,14.0,-14.29,-14.29,2.5649493574615367,47.782379438769176,14.79
2021-09,2021,9,SPM,18,4,8.666666666666666,107.69,107.69,2.9444389791664403,352.67804733332605,61.41
2021-10,2021,10,SPM,12,4,12.333333333333334,-2.7,-2.7,2.5649493574615367,75.59837943876917,19.04
2021-11,2021,11,SPM,16,4,12.333333333333334,29.73,29.73,2.833213344056216,162.01482700979892,32.26
2021-12,2021,12,SPM,10,4,15.333333333333334,-34.78,-34.78,2.3978952727983707,-6.739351270452133,6.45
2022-01,2022,1,SPM,13,4,12.666666666666666,2.63,2.63,2.6390573296152584,90.76183454768828,21.36
2022-02,2022,2,SPM,10,4,13.0,-23.08,-23.08,2.3978952727983707,21.340648729547866,10.75
2022-04,2022,4,SPM,12,4,9.333333333333334,28.57,28.57,2.5649493574615367,150.64637943876917,30.52
2022-11,2022,11,SPM,13,4,6.333333333333333,105.26,105.26,2.6390573296152584,337.0738345476883,59.03
2022-12,2022,12,SPM,12,4,9.333333333333334,28.57,28.57,2.5649493574615367,150.64637943876917,30.52
2022-01,2022,1,UP_TUP_GUP,14,3,1.0,1300.0,300.0,2.70805020110221,604.993204826453,100.0
